"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","H","All","2001","2017","Assault Other Specified","16","2004","0","326,482",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2004","0","111,050",".","0"
"F","N","All","2001","2017","Assault Other Specified","16","2004","33",".","2","0.762"
"F","A","All","2001","2017","Assault Other Specified","16","2005","557","2,094,194","9","0.424"
"F","W","All","2001","2017","Assault Other Specified","16","2005","167","1,286,151","4","0.778"
"F","B","All","2001","2017","Assault Other Specified","16","2005","127","353,061","1","1"
"F","H","All","2001","2017","Assault Other Specified","16","2005","9","339,912","1","1"
"F","O","All","2001","2017","Assault Other Specified","16","2005","254","115,070","3","0.638"
"F","A","All","2001","2017","Assault Other Specified","16","2006","167","2,187,586","4","0.783"
"F","W","All","2001","2017","Assault Other Specified","16","2006","0","1,320,062",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2006","16","377,079","2","1"
"F","H","All","2001","2017","Assault Other Specified","16","2006","0","371,539",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2006","0","118,906",".","0"
"F","N","All","2001","2017","Assault Other Specified","16","2006","151",".","2","0.862"
"F","A","All","2001","2017","Assault Other Specified","16","2007","228","2,165,619","6","0.627"
"F","W","All","2001","2017","Assault Other Specified","16","2007","8","1,288,968","1","1"
"F","B","All","2001","2017","Assault Other Specified","16","2007","21","373,565","1","1"
"F","H","All","2001","2017","Assault Other Specified","16","2007","21","383,457","1","1"
"F","O","All","2001","2017","Assault Other Specified","16","2007","0","119,629",".","0"
"F","N","All","2001","2017","Assault Other Specified","16","2007","176",".","3","0.795"
"F","A","All","2001","2017","Assault Other Specified","16","2008","0","2,147,828",".","0"
"F","W","All","2001","2017","Assault Other Specified","16","2008","0","1,256,950",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2008","0","372,234",".","0"
"F","H","All","2001","2017","Assault Other Specified","16","2008","0","397,302",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2008","0","121,342",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2009","16","2,121,530","2","0.612"
"F","W","All","2001","2017","Assault Other Specified","16","2009","16","1,222,738","2","0.612"
"F","B","All","2001","2017","Assault Other Specified","16","2009","0","369,930",".","0"
"F","H","All","2001","2017","Assault Other Specified","16","2009","0","406,212",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2009","0","122,650",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2010","0","2,100,105",".","0"
"F","W","All","2001","2017","Assault Other Specified","16","2010","0","1,199,641",".","0"
